scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,human_to_automated_research_ratio,singularity_time_estimate,monopoly_foc_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual,sigma_xl,population_growth,terminal_output_capital_ratio
sigma5_n030,76.0,1.0151188623551093,5.926786434408434,3.232799733100943,2.28,5.4794437001545,3.913268464649162,6.779704672942746,7.199798730728304,1.1896876828264582,-2.8323426373569323,-3.232799733100943,9.211464233429062,5.978664500328119,2.2780622869894027,-3.967215561884656,3.419359235836841,2.7549854406195995,4.499704672942746,3.1994437001545006,3.6467864344084338,0.5224348159223698,0.10963857126219491,0.7143398756200933,0.6843398756200932,0.3419010095798273,0.7448493801121003,0.7148493801121003,0.37657911513555575,2.3464844715760402,0.04672460976848274,0.7743398756200933,0.7243398756200933,0.9980641631432471,0.001935836856752915,0.9998944952925225,0.3299862843880279,0.2211063078357398,0.48790467667752874,0.4488618274273028,0.03472326216960078,0.2439542314711711,0.2724606789319254,1.0,7.068815400992467e-05,0.03651555334497237,1.4925067602334507,0.22106748441868723,1.4424795244452673,3.384755804677211,0.3194045017683241,79.3645520285912,8.881784197001252e-16,0.0,3.4847680296934413e-12,0.0,0.0,-5.885859895027323e-07,-6.410747561969021e-08,-4.724479248929825e-07,2.2607198563173725e-07,5.0,0.03,3.0
sigma5_n030,77.0,0.015118862355109286,6.533005239954474,3.3518795922381073,2.31,6.292297944048695,4.289876351347873,7.627607826867717,8.166740444302599,1.6039714479453249,-2.951404450374911,-3.3518795922381073,10.178522213846625,6.826642621608517,2.3096566340583577,-5.666885472319585,4.279521113094713,3.2335625707982487,5.317607826867716,3.9822979440486947,4.223005239954475,0.7055932242879569,0.13043447560966434,0.926038343101852,0.8960383431018519,0.4086667645160472,0.9703885777900823,0.9403885777900822,0.4500302208754192,2.9879949790965212,0.0436528429673278,0.986038343101852,0.936038343101852,0.999656693001696,0.0003433069983039827,0.9999875032792072,0.32999837542629695,0.2211007472850227,0.5904662184478299,0.448895478672814,0.035151544769322654,0.252876336665206,0.2630766398926573,0.9999999999999999,8.37280293120468e-06,0.02438867536219274,1.4925336944313594,0.22109614852425474,1.0142486749987072,3.030569948451437,0.13947575682327745,79.64219623665034,1.7763568394002505e-15,0.0,-2.092370721129555e-11,0.0,0.0,3.929325030904707e-07,9.3900804354341e-09,1.86737860841113e-07,-3.5483359051013963e-07,5.0,0.03,3.0
sigma5_n030,77.01511886235511,0.0,6.543700426414975,3.353854711592483,2.3104535658706533,6.3063285044975155,4.296060902367624,7.642312715083088,8.18342026024798,1.610782475538982,-2.9533794859949634,-3.353854711592483,10.195202569242209,6.841347857649726,2.310119583387522,-5.694135432800469,4.293606117689386,3.2420800968534222,5.331859149212435,3.995874938626862,4.233246860544321,0.7092259111780077,0.13084489224350718,0.9300000000000037,0.9000000000000037,0.40945515216918327,0.9748553795674297,0.9448553795674297,0.45096537073519016,3.0000000000000115,0.04361496408116889,0.9900000000000039,0.9400000000000038,0.9996660732828097,0.00033392671719034706,0.9999879348340672,0.3299984315284287,0.22110072147932355,0.5921122124125735,0.448895634810287,0.0351297616546734,0.2530753037260016,0.262899299809038,1.0,8.083661174957955e-06,0.024207889811793826,1.4925338194076632,0.22109628152853794,1.007631874298537,3.0228956228956227,0.13758869238395066,79.64674189198809,-8.881784197001252e-16,0.0,1.8173462734694112e-11,2.220446049250313e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,5.0,0.03,3.0
sigma6_2_n030,0.0,76.24889646572963,0.9200248718261719,-1.3916891261901592e-25,0.0,-0.4457905419082422,1.387614850883245,0.10277202619891018,-0.29975549478168145,-0.26400220600037594,0.17589444493976103,1.3916891261901592e-25,-11.356106393322131,-11.356106393322131,-3.406414997295228,-0.03372211854996012,-5.17249782610843,-3.8659127455582745,0.10277202619891018,-0.4457905419082422,0.9200248718261719,0.13420636888559168,0.017275079349927856,0.08574227306491697,0.05574227306491697,0.08451055088676547,0.06258235265454992,0.03258235265454992,0.03527848767698183,0.4416432517118697,0.03911546091323095,0.145742273064917,0.09574227306491699,0.033159865749352826,0.9668401342506472,1.8783975699801724e-05,0.16129349161912612,0.1352805590337531,0.18211541131526535,1.0555342590703561e-05,0.0051165758021747875,0.4170931360811754,0.577779732774059,1.0,0.6699874147362811,0.6929660768122303,1.192312197422319,2.029921128163593e-06,3.6140998652864313,1.59614281651653,5.847901206861245,17.876122998137852,3.6082248286400696e-16,-2.220446049250313e-16,-1.3322676295501878e-15,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.03,10.0
sigma6_2_n030,1.0,75.24889646572963,1.0453280289321305,0.017689984119915354,0.03,-0.3648638912343909,1.4670397346744215,0.16242359843352788,-0.2724397777822018,-0.23166527753845872,0.15820558339570745,-0.017689984119915354,-11.018637432291664,-11.036327416411579,-3.3009791816239495,-0.006413055556511844,-5.002388153513321,-3.7485420021269302,0.13242359843352788,-0.3948638912343909,1.0153280289321305,0.11711460418754736,0.01809960840733953,0.07648138394404502,0.046481383944045024,0.07471298947830622,0.05695505232453102,0.02695505232453102,0.02963198698580083,0.41357995134559095,0.04376326354421214,0.13648138394404502,0.08648138394404502,0.03575807427046435,0.9642419257295356,2.436463455055722e-05,0.16129443313028063,0.13528198644522238,0.1869815742898024,1.3691285603640116e-05,0.005714138413193803,0.40406843620885524,0.5902037340923473,1.0,0.6699836756948511,0.694829438356923,1.1923135358839627,2.633019545233218e-06,3.752064119289422,1.5517784959012568,5.481665465723864,20.089100095913302,-1.4641066137244252e-15,-4.440892098500626e-16,-3.7192471324942744e-15,0.0,0.0,6.428835708227609e-08,-2.958193134894316e-10,3.251730867903646e-08,3.271019018147303e-08,6.2,0.03,10.0
sigma6_2_n030,2.0,74.24889646572963,1.1554615289188013,0.03618963901347662,0.06,-0.2921990023292804,1.5376757949735973,0.2170777751104172,-0.245111237959384,-0.20433837991841464,0.13970724723423267,-0.03618963901347662,-10.707200259772456,-10.743389898785933,-3.201311423023548,0.02090766751727692,-4.848066599672841,-3.6385408209319254,0.1570777751104172,-0.3521990023292804,1.0954615289188012,0.10366317578706154,0.018895351801867074,0.06911569987597635,0.03911569987597635,0.0668292473284129,0.05252059805727072,0.02252059805727072,0.02519099096251476,0.3912596965938677,0.04829363199522356,0.12911569987597635,0.07911569987597634,0.03833808758489503,0.961661912415105,3.0920436383023564e-05,0.161295539157493,0.13528366326358904,0.19117137271488935,1.7375182310178017e-05,0.006312999399086958,0.3927395975736437,0.6009300278449591,0.9999999999999999,0.6699792833076234,0.696689007496456,1.1923151082271164,3.3415100664477687e-06,3.8836974809923848,1.5195342980754487,5.1901114796543215,22.178079054980987,-9.853229343548264e-16,2.220446049250313e-16,-7.993605777301127e-15,0.0,0.0,3.332497488517383e-07,-1.7831765439235703e-09,1.701910029294762e-07,1.7135611252161453e-07,6.2,0.03,10.0
sigma6_2_n030,3.0,73.24889646572963,1.2535318290876436,0.05547273596673861,0.09,-0.22617130293725796,1.6011645502589766,0.26775206706035753,-0.2177812485650222,-0.18099260181204693,0.1204256936642416,-0.05547273596673861,-10.415589962399563,-10.471062698366302,-3.1063542379998954,0.04822850849674557,-4.70641785843647,-3.534572867195639,0.17775206706035754,-0.3161713029372579,1.1635318290876435,0.09285473585242716,0.01966720348390402,0.06313888841410184,0.03313888841410184,0.06034979852143454,0.048951458727075625,0.018951458727075626,0.021625595715696333,0.37314814670939944,0.05270615346033182,0.12313888841410182,0.07313888841410182,0.04091108449923908,0.9590889155007609,3.859303380325985e-05,0.1612968335989287,0.1352856257131816,0.194807259874391,2.1686626766717843e-05,0.006914255905606104,0.38283651443049954,0.6102275430371276,0.9999999999999999,0.6699741426673518,0.698552690829029,1.1923169484277283,4.170705881466254e-06,4.010376868874374,1.496464696226717,4.953347548504386,24.15746562999095,-1.4641066137244252e-15,-4.440892098500626e-16,-1.7291723608536813e-14,0.0,0.0,-2.1920086841487052e-07,1.3530649864423872e-09,-1.1290575056832619e-07,-1.1379173198156067e-07,6.2,0.03,10.0
sigma6_2_n030,4.0,72.24889646572963,1.3418278423669494,0.07551735195231213,0.12,-0.1655731200787038,1.6587278071827292,0.3151955421750705,-0.19045917284481018,-0.16086947853380873,0.10038288079901037,-0.07551735195231213,-10.139249770669014,-10.214767122621327,-3.015310725119609,0.07553989613778639,-4.57512809899974,-3.4356253152754315,0.1951955421750705,-0.28557312007870383,1.2218278423669493,0.08402344229780896,0.020418946777640834,0.05820972226668324,0.028209722266683245,0.05493094124530571,0.04602904371986405,0.01602904371986405,0.018715520020418097,0.35821127959600985,0.05700252320549284,0.11820972226668325,0.06820972226668325,0.04348623946282646,0.9565137605371735,4.7556843104971874e-05,0.16129834588030448,0.1352879183956308,0.19798311764126322,2.672362199449e-05,0.0075189886268551935,0.37414634862687857,0.6183079391242717,1.0,0.6699681369151196,0.7004270764895936,1.1923190983206107,5.139462885841154e-06,4.1331904589400175,1.4805554431109231,4.75795223943269,26.039699860380612,5.551115123125783e-17,-2.220446049250313e-16,-3.3306690738754696e-14,0.0,0.0,7.0893284437323345e-09,-4.914930268329343e-11,3.683091789885573e-09,3.715418056549069e-09,6.2,0.03,10.0
sigma6_2_n030,5.0,71.24889646572963,1.4220825503780397,0.09630492829125041,0.15,-0.10948287069624674,1.7112990786660087,0.35997479329892346,-0.1631529079489995,-0.14339447914019646,0.07959741014245303,-0.09630492829125041,-9.87474107308868,-9.97104600137993,-2.927565655619351,0.10283367940706309,-4.452433030712312,-3.340912076077926,0.20997479329892346,-0.25948287069624676,1.2720825503780397,0.07670794386024672,0.0211535669067526,0.054089690448366555,0.024089690448366556,0.05033220545620413,0.04360195282687718,0.013601952826877178,0.01630810945479899,0.3457263346920198,0.061185870973921135,0.11408969044836655,0.06408969044836654,0.046071273595801064,0.9539287264041989,5.8024751430469726e-05,0.16130011191774132,0.13529059574841643,0.2007725503775686,3.260578619559304e-05,0.00812826468559706,0.36649780808025745,0.62534132144795,1.0,0.6699611234165416,0.7023177988799401,1.1923216089685718,6.270797262821672e-06,4.253019552731173,1.470380861339242,4.594534179229023,27.83560231514285,-2.636779683484747e-16,2.220446049250313e-16,-6.059042156891792e-14,0.0,0.0,9.659546784668294e-08,-7.406642070495462e-10,5.0593179437563585e-08,5.108359529132356e-08,6.2,0.03,10.0
sigma6_2_n030,6.0,70.24889646572963,1.4956381196013835,0.1178195810768103,0.18,-0.05718181136189877,1.759607278897882,0.40252818645067007,-0.1358692433101291,-0.12812239844912943,0.05808521760921437,-0.1178195810768103,-9.619409497963899,-9.73722907904071,-2.842634482164857,0.13010276054115066,-4.336957695875778,-3.2498109335935226,0.22252818645067007,-0.23718181136189875,1.3156381196013835,0.07057852255920131,0.021873457708181273,0.05060692734064164,0.020606927340641644,0.04638014710058008,0.04156203300326178,0.011562033003261779,0.014294244595897121,0.33517250709285346,0.0652602980414549,0.11060692734064165,0.060606927340641645,0.04867282162633145,0.9513271783736685,7.025529350476789e-05,0.16130217532854935,0.13529372387878966,0.20323435541594856,3.9478384428849096e-05,0.008743140033004393,0.35975063588911016,0.6314667456934565,0.9999999999999999,0.6699529289533517,0.704229779389529,1.1923245423841864,7.592662219345384e-06,4.370592893716589,1.4649025776691982,4.456319556056661,29.554644017123422,1.3877787807814457e-17,0.0,-1.0758061108617767e-13,0.0,0.0,-8.966551952316326e-08,7.613339923773221e-10,-4.729370835232505e-08,-4.780085986755278e-08,6.2,0.03,10.0
sigma6_2_n030,7.0,69.24889646572963,1.5635536853964644,0.14004758498518627,0.21,-0.008099275691020565,1.8042318173635024,0.4432012733370224,-0.10861409379673266,-0.11470170966138032,0.03586009150274094,-0.14004758498518627,-9.371167354878045,-9.511214939863232,-2.7601293266363642,0.15734085128282843,-4.227611162771943,-3.161821444510586,0.23320127333702242,-0.21809927569102056,1.3535536853964645,0.06539333347384355,0.022580560780972578,0.047634393882615915,0.017634393882615916,0.04294643825178967,0.03983000022494965,0.009830000224949648,0.012593869623545029,0.32616482994732093,0.06923051999389258,0.10763439388261592,0.05763439388261592,0.0512966758763747,0.9487033241236253,8.456154292011261e-05,0.16130458893127328,0.13529738283551304,0.20541622680097182,4.751732325999312e-05,0.009364658249076525,0.3537884004614501,0.6367994239662133,0.9999999999999999,0.6699433437662434,0.7061673831333001,1.1923279736629602,9.138910496482327e-06,4.486523514955282,1.463346179310046,4.338296832299698,31.20515139591857,-1.7208456881689926e-15,2.220446049250313e-16,-1.8512968935624485e-13,0.0,0.0,4.581709843465287e-08,-4.180810038445504e-10,2.434264399081565e-08,2.462475914150053e-08,6.2,0.03,10.0
sigma6_2_n030,8.0,68.24889646572963,1.6266785920102909,0.162976972624129,0.24,0.038224813645533214,1.8456403425046353,0.48227085278142084,-0.08139266057011217,-0.10285033994668857,0.012934075391225264,-0.162976972624129,-9.128346115209805,-9.291323087833934,-2.67973539553992,0.1845422988285833,-4.12351449224636,-3.0765356076374957,0.24227085278142085,-0.20177518635446678,1.3866785920102909,0.06097098009229704,0.023276464310402853,0.04507610690165569,0.015076106901655693,0.03993403143822045,0.03834643133193705,0.008346431331937049,0.011146921947008392,0.3184124451565324,0.07310161604694843,0.1050761069016557,0.055076106901655694,0.05394796028282837,0.9460520397171717,0.00010132216896302057,0.16130741661108636,0.13530166943345218,0.20735736634039853,5.6935361600249685e-05,0.009993850301318398,0.34851332534362284,0.6414358889934585,1.0,0.6699321141467948,0.7081345275119065,1.192331993636202,1.095049160497409e-05,4.601334924381249,1.4651223042563817,4.236676411744945,32.794473988030845,2.7755575615628914e-17,0.0,-3.078648447285559e-13,0.0,0.0,-8.907537513147545e-09,8.785872723793275e-11,-4.761942104525296e-09,-4.821916491093425e-09,6.2,0.03,10.0
sigma6_2_n030,9.0,67.24889646572963,1.6857033493259381,0.1865972182736436,0.27,0.08216620965756476,1.8842152064240145,0.5199617146264373,-0.05420953828525726,-0.09233881670699626,-0.010682212880952946,-0.1865972182736436,-8.88959402036444,-9.076191238638083,-2.601194256837235,0.21170196230034785,-4.023950307064669,-2.9936169876231324,0.24996171462643724,-0.18783379034243525,1.415703349325938,0.05717275989838913,0.02396247410338716,0.042858166990882955,0.012858166990882956,0.037268140398796105,0.03706593427577065,0.007065934275770652,0.009907459451174994,0.31169141512388776,0.07687883894351986,0.10285816699088296,0.05285816699088296,0.056631253916428696,0.9433687460835714,0.00012099511546082473,0.16131073562754386,0.13530670074731269,0.20909035827154177,6.798979393359491e-05,0.010631733521616615,0.3438425144169956,0.6454577622674542,1.0,0.6699189332726412,0.7101347548917996,1.1923367121531476,1.3076933425157651e-05,4.715479983072328,1.46977462891218,4.1485382788226515,34.32911946182724,-3.608224830031759e-15,2.220446049250313e-16,-4.967415367929107e-13,0.0,0.0,-2.25257683131308e-08,2.3159566625574612e-10,-1.2121326019298717e-08,-1.228341849068837e-08,6.2,0.03,10.0
sigma6_2_n030,10.0,66.24889646572963,1.7411959604056877,0.21089898352873293,0.3,0.12403518912881956,1.9202724716242312,0.5564585819307917,-0.02706878358669445,-0.08297825362831965,-0.03497932343440091,-0.21089898352873293,-8.653803282078611,-8.864702265607344,-2.5242917052380416,0.23881512406702335,-3.9283266293086943,-2.912785512862381,0.2564585819307917,-0.17596481087118043,1.4411959604056876,0.05389082721158314,0.024639665755610073,0.04092274023851463,0.010922740238514632,0.03489018673831775,0.03595326321881309,0.005953263218813093,0.008839744389532722,0.30582648557125647,0.08056746854212246,0.10092274023851464,0.05092274023851463,0.05935067972094996,0.94064932027905,0.0001441345065864186,0.16131463946675634,0.13531261842857736,0.21064254477216982,8.099194541654727e-05,0.01127930992957738,0.3397051338360194,0.6489345642889865,0.9999999999999999,0.669903429880587,0.7121712793901299,1.1923422621377155,1.557817399635318e-05,4.829354781943382,1.4769446005384863,4.071595445814548,35.814863857039825,-6.827871601444713e-15,-4.440892098500626e-16,-7.834011217511261e-13,0.0,0.0,3.26356638033487e-08,-3.427069288075568e-10,1.7671007643271786e-08,1.7920065341348046e-08,6.2,0.03,10.0
sigma6_2_n030,11.0,65.24889646572963,1.7936285400293364,0.23587390733984145,0.32999999999999996,0.16409045361205285,1.9540759405433008,0.5919148663713223,2.6042032300428258e-05,-0.07461154838704509,-0.05994876018214157,-0.23587390733984145,-8.420056903930082,-8.655930811269924,-2.4488487182556224,0.2658774218836373,-3.8361502318445737,-2.833806099577791,0.26191486637132233,-0.1659095463879471,1.4636285400293363,0.051040077422976796,0.025308924640105732,0.03922390675820752,0.009223906758207522,0.03275362103519059,0.03498065716756038,0.004980657167560382,0.007915557747872892,0.3006785053279016,0.08417271002629659,0.09922390675820753,0.04922390675820752,0.06210997230859205,0.937890027691408,0.00017141158495998673,0.16131924137384968,0.1353195940506378,0.21203706373887438,9.631893073474074e-05,0.011937565357506662,0.3360402410966779,0.6519258746150808,1.0,0.6698851542380767,0.7142470166646102,1.1923488046132136,1.8526831188450362e-05,4.943309180414412,1.4863468157406994,4.00403063926968,37.256845597557025,-6.6058269965196814e-15,0.0,-1.2068124277675452e-12,0.0,0.0,-2.5454522795120837e-08,2.774205448696776e-10,-1.3852868303854127e-08,-1.4061408412646692e-08,6.2,0.03,10.0
